W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts
2.5363452261840456,2.4400890720031865,1.8259274738000872,2.040545023666404,3.7841040909455126,5.017393792922541,7.589571866952269e-05,7.341492882834506e-12,6.182233891429765e-12,30.0844,0.00100923
2.5860128474284902,3.6042509333017456,2.4250976684671066,3.384958179527253,7.275425151114239,2.6428765314233793,2.1112843442168183e-05,6.47672440919634e-12,4.829961102575924e-12,10.7865,0.00299104
4.014372434655266,4.514212230136392,1.8048939082542077,4.914798449652363,3.579447516709547,8.267740493866814,7.232824783073814e-05,1.9075773321296328e-12,7.681862199488804e-12,29.6647,0.000901224
2.3149492046405102,1.6512409130766734,3.1450901305957295,4.4448344235808666,2.4025342948841413,9.364021538162362,4.575335636204195e-05,9.893345561818099e-12,4.007483166699635e-12,28.9807,0.00210473
2.0974174634150238,4.846926007230574,2.2570397288752853,4.829446826849379,6.341194606758021,9.217049110853063,2.7434701428243913e-05,6.0985774366883825e-12,2.1432740517749102e-12,29.5259,0.000650451
4.056979212740352,3.4166432967551263,4.463021230631016,4.807107771757428,6.4612474343487705,9.225557276474802,3.181379222761056e-05,3.809427938375175e-12,7.802360905458619e-12,29.1836,0.00142567
1.936990104950977,3.4102237855920534,3.8939622218778607,2.873965996524332,5.72938378650649,8.328533303085056,1.870446106097086e-05,3.46576155903221e-12,5.024425984660965e-12,29.1706,0.00103388
4.011056914879045,3.617488272184005,4.8797781630015695,2.043916856430785,8.408351235428913,6.0151587767254275,9.869305365613326e-05,8.803165148680105e-12,5.91643486964837e-12,10.3389,0.00403485
2.5813852195849734,4.278288108746191,3.6434692106216406,3.406711703646022,9.994619411935894,9.926623052539128,7.858444004997718e-05,8.842134250449185e-12,5.315111785203475e-12,29.6123,0.00112159
1.4070628351569803,4.2564998654386645,2.2541052476243877,4.251281283607557,6.350802703262425,2.9451035688305494,2.2084441637887062e-05,1.183566171053046e-12,5.4755472907664325e-12,19.1433,0.00105381
1.8204303145869485,3.02020804570263,4.417447489848316,2.3974104807407635,7.476372772854575,2.943970570586564,1.4286247779412839e-05,2.1227357856505254e-12,7.3511561914946e-12,2.80075,0.000779923
2.537645834679895,2.050373064598465,3.0642697618851518,3.450449531988179,4.6134426853188115,3.265566704911013,4.7768336032222095e-05,8.017956844422793e-12,7.059568060571417e-12,9.06466,0.00346891
