W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts
1.2960957214328288,4.9090824622348315,1.5993255660246652,3.235822305309015,6.688661883394832,9.60965669009045,1.3617559948087123e-05,3.809760482195043e-12,6.667358706445897e-12,29.8407,0.000658
1.4166262723172838,4.710561986653523,1.1573990479650065,2.0149647673850795,9.907245877358124,7.863706218174809,1.648814194919313e-05,8.804553100740733e-12,4.065843183130614e-12,30.3644,0.000501734
4.764696780942128,3.783600282503181,1.7549454289705144,4.602316639877738,5.148553282413844,3.956857902882467,7.273093885389871e-05,9.25767741907039e-12,6.176031743823511e-12,30.3195,0.000884223
4.000362994747373,2.6167263931338587,3.643102365421239,3.9598214957145146,9.108390100652056,5.60512638468016,6.957886764461947e-05,4.823919244043445e-12,7.1883298628988415e-12,8.10637,0.00202853
4.860802303072228,4.885732462030672,1.586581033494106,4.852843988429876,2.6897183871746178,8.645004767583785,2.230698515205073e-05,2.069421856190385e-12,1.7552504046330576e-12,29.4459,0.000352289
2.3534583503112145,1.5464881505629888,2.471232459085006,1.9249518300797295,9.068229884442088,3.8754424940675607,8.671013828831488e-05,5.9711949042314405e-12,8.092681956927016e-12,2.76894,0.0021913
3.5572613958826014,3.1540162066454056,3.520519134530507,4.250623206717691,7.8355251527215035,6.544702686971858,5.763775005487325e-05,1.9051153976149334e-12,7.647884914565186e-12,15.5536,0.00119295
1.3525497171409024,2.134846813829308,2.380600609172903,1.6558430843072967,5.769629336917915,5.233012866948604,4.7485904360966854e-05,3.050719726076714e-12,6.218066448700871e-12,17.2619,0.00221783
4.237005326192616,4.8197504310410935,3.798268222740366,2.3079778479037207,4.260943668464177,6.145594049268667,4.384026964153744e-05,2.769203945375648e-12,6.83752949065463e-12,29.4265,0.0012389
1.948824603812287,2.656017115471012,2.628185692696651,3.9517477103237493,6.149857366151219,2.338701500090859,7.250105819948165e-05,5.786759991056823e-12,7.659277907425624e-12,6.64751,0.00231541
4.059294913905864,4.537573711149533,4.796332178270653,4.248371339905553,7.476510540841119,2.7000977987962296,6.049225908499022e-05,3.453570585560146e-12,4.321749663514727e-12,5.20867,0.00133709
1.3949427157545782,3.415831186328061,4.324439991870323,4.687584390254187,5.028540724863903,5.884487574849922,4.2362809647162376e-05,4.859213528497712e-12,4.59406450997739e-12,20.9969,0.00553078
4.807457981064701,3.3267536081760554,1.3326202542069452,4.281057436171917,2.829516826915115,5.140894497317638,3.109101537170147e-05,4.174462027235945e-12,6.663893254806992e-12,29.5588,0.00095637
4.836953861520485,4.868502952666105,1.4872779023091058,4.928260660163724,3.9315617718951454,6.143484493757551,1.967751833585842e-05,3.5199034115305014e-12,4.999843193020643e-12,29.8462,0.000608916
3.5398466000993185,4.049008010714218,3.171028250233652,2.7920242443980303,3.6910915697096485,8.584800257276648,9.771845378528511e-05,2.463475516498619e-12,9.704778967376475e-12,29.2954,0.00163925
4.798161635388775,3.4382341682791115,1.6287738834383139,3.1751398550957863,4.689750764635557,6.274428726976529,1.973873020447062e-05,2.149593650458021e-12,6.4891863564136e-12,29.7322,0.000695935
4.948159546111397,4.34643233652165,1.264649393176538,3.1392372466472374,4.1608178582779125,2.1476598388331523,7.628023215707978e-05,8.339368409697598e-12,9.313901292079091e-12,31.7792,0.000783164
